,,db1,db2,db3,db4,db5,db6,db7,db8,db9
Sqlite,query1,0.00044039999999999997,0.00040720000000000003,0.00041359999999999997,0.0004346,0.0003748,0.000426,0.00043999999999999996,0.0004586,0.000385
Sqlite,query2,0.0010838,0.0011498,0.0016776,0.0064399999999999995,0.0111256,0.0489058,0.0429652,0.3217734,3.4437551999999996
Sqlite,query3,0.0002404,0.0003981999999999999,0.00043900000000000005,0.0010446000000000001,0.0016484000000000002,0.0058986,0.009184800000000002,0.0703366,0.7972144
Sqlite,query4,0.0012718,0.0010906000000000002,0.0009498,0.0030036,0.0052398,0.0182598,0.022384,0.207763,1.8419376
Maria(index),query1,0.0003008,0.0002472,0.00023279999999999997,0.0002512,0.0002738,0.0002506,0.00027479999999999996,0.00023940000000000002,0.0002402
Maria(index),query2,0.033447,0.0138768,0.0317662,0.0900588,0.0532566,0.1259836,0.1809232,1.1233468,144.5690654
Maria(index),query3,0.0003078,0.0003218,0.0003936,0.0011044,0.0016192,0.0052502,0.009058199999999999,0.0516228,0.48381559999999996
Maria(index),query4,0.0011878,0.0014172,0.0020622,0.012245800000000001,0.0164582,0.068554,0.12712800000000002,0.6874326,6.138065
Maria(no index),query1,0.0002912,0.00026,0.0002762,0.0006615999999999999,0.0006490000000000001,0.0007181999999999999,0.005234,0.0044291999999999995,0.0038970000000000003
Maria(no index),query2,0.0029356,0.0038772,0.0038888,0.018327799999999998,0.024125799999999996,0.0914138,0.113218,0.986303,104.356098
Maria(no index),query3,0.0005941999999999999,0.0006068,0.0008994000000000001,0.0035406,0.0055081999999999996,0.019062000000000003,0.03145920000000001,0.1712578,1.6542734
Maria(no index),query4,0.0025682000000000005,0.0032444,0.0057036,0.2933502,0.5021524,2.1291124,27.9548858,209.0061854,2018.05806
MongoDB,query1,0.0002,0.0,0.0,0.0012000000000000001,0.0014,0.0014,0.0142,0.0142,0.0134
MongoDB,query2,0.001,0.001,0.0021999999999999997,0.0106,0.0194,0.0518,0.0626,0.3432,4.353400000000001
MongoDB,query3,0.0008,0.0008,0.0008,0.011,0.014600000000000002,0.045599999999999995,0.0472,0.2334,1.9454
MongoDB,query4,0.0162,0.0268,0.0184,0.07360000000000001,0.0796,0.08859999999999998,0.5156,0.46399999999999997,0.4756
